Absolute Time Status	N/A			
          1.366792506e-01	          2.660084256e-03			
          1.376558131e-01	          4.522143236e-03			
          1.386323756e-01	          4.572469154e-03			
          1.396089381e-01	          4.443059650e-03			
          1.405855006e-01	          4.141104139e-03			
          1.415620631e-01	          4.313650145e-03			
          1.425386256e-01	          5.176380174e-03			
          1.435151881e-01	          5.463956851e-03			
          1.444917506e-01	          6.017541953e-03			
          1.454683131e-01	          5.284221428e-03			
          1.464448756e-01	          6.132572623e-03			
          1.474214381e-01	          4.479006734e-03			
          1.483980006e-01	          7.210985160e-03			
          1.493745631e-01	          7.527319504e-03			
          1.503511256e-01	          7.326015830e-03			
          1.513276881e-01	          7.929926850e-03			
          1.523042506e-01	          7.081575655e-03			
          1.532808131e-01	          6.722104810e-03			
          1.542573756e-01	          5.068538921e-03			
          1.552339381e-01	          3.860716880e-03			
          1.562105006e-01	          3.501246035e-03			
          1.571870631e-01	          3.443730699e-03			
          1.581636256e-01	          2.997986851e-03			
          1.591401881e-01	          4.126725306e-03			
          1.601167506e-01	          5.226706093e-03			
          1.610933131e-01	          3.731307376e-03			
          1.620698756e-01	          3.803201545e-03			
          1.630464381e-01	          3.048312769e-03			
          1.640230006e-01	          5.607745189e-04			
          1.649995631e-01	          2.084930904e-03			
          1.659761256e-01	          1.028086618e-03			
          1.669526881e-01	          2.983608017e-03			
          1.679292506e-01	          4.220187725e-03			
          1.689058131e-01	          2.861387930e-03			
          1.698823756e-01	          3.889474548e-03			
          1.708589381e-01	          3.429351865e-03			
          1.718355006e-01	          2.494727667e-03			
          1.728120631e-01	          3.184911691e-03			
          1.737886256e-01	          2.501917084e-03			
          1.747651881e-01	          2.731978425e-03			
          1.757417506e-01	          1.682323557e-03			
          1.767183131e-01	          2.286234577e-03			
          1.776948756e-01	          1.883627230e-03			
          1.786714381e-01	          1.502588134e-03			
          1.796480006e-01	          9.274347812e-04			
          1.806245631e-01	          2.156825073e-04			
          1.816011256e-01	          1.703891807e-03			
          1.825776881e-01	          1.373178630e-03			
          1.835542506e-01	          3.163343440e-03			
          1.845308131e-01	          4.270513644e-03			
          1.855073756e-01	          5.686828775e-03			
          1.864839381e-01	          4.177051224e-03			
          1.874605006e-01	          3.594708454e-03			
          1.884370631e-01	          3.163343440e-03			
          1.894136256e-01	          4.565279737e-03			
          1.903901881e-01	          4.860045830e-03			
          1.913667506e-01	          5.219516676e-03			
          1.923433131e-01	          7.620781923e-03			
          1.933198756e-01	          6.808377813e-03			
          1.942964381e-01	          7.498561836e-03			
          1.952730006e-01	          8.246261194e-03			
          1.962495631e-01	          6.571127055e-03			
          1.972261256e-01	          5.751533527e-03			
          1.982026881e-01	          5.945647784e-03			
          1.991792506e-01	          5.348926180e-03			
          2.001558131e-01	          5.169190757e-03			
          2.011323756e-01	          4.126725306e-03			
          2.021089381e-01	          5.334547346e-03			
          2.030855006e-01	          5.852185364e-03			
          2.040620631e-01	          3.048312769e-03			
          2.050386256e-01	          3.882285131e-03			
          2.060151881e-01	          6.226035043e-03			
          2.069917506e-01	          4.004505218e-03			
          2.079683131e-01	          4.141104139e-03			
          2.089448756e-01	          3.817580379e-03			
          2.099214381e-01	          4.385544314e-03			
          2.108980006e-01	          4.083588804e-03			
          2.118745631e-01	          5.801859445e-03			
          2.128511256e-01	          6.765241311e-03			
          2.138276881e-01	          7.563266588e-03			
          2.148042506e-01	          6.405770466e-03			
          2.157808131e-01	          7.584834839e-03			
          2.167573756e-01	          5.514282769e-03			
          2.177339381e-01	          6.010352536e-03			
          2.187105006e-01	          5.399252099e-03			
          2.196870631e-01	          5.341736763e-03			
          2.206636256e-01	          6.233224460e-03			
          2.216401881e-01	          2.207150991e-03			
          2.226167506e-01	          1.236579708e-03			
          2.235933131e-01	          1.675134140e-03			
          2.245698756e-01	          2.731978425e-03			
          2.255464381e-01	          4.097967638e-03			
          2.265230006e-01	          2.983608017e-03			
          2.274995631e-01	          2.767925510e-03			
          2.284761256e-01	          1.279716210e-03			
          2.294526881e-01	          1.071223119e-03			
          2.304292506e-01	          1.797354227e-04			
          2.314058131e-01	         -2.588190087e-04			
          2.323823756e-01	          1.552914052e-03			
          2.333589381e-01	          1.711081224e-03			
          2.343355006e-01	          3.522814285e-03			
          2.353120631e-01	          3.055502186e-03			
          2.362886256e-01	          3.911042798e-03			
